id,timestamp,language,original_text,normalized_text,category,subcategory,severity,location,latitude,longitude,administrative_region,duration,affected_population_estimate,evidence_status,privacy_status,manipulation_risk,cluster_id
CF-2026-H1-001,2026-09-20T10:00:00,Hindi,हमारे गांव रामपुर में पिछले 20 दिनों से पानी की सप्लाई पूरी तरह बंद है। महिलाओं को 3 किलोमीटर दूर जाना पड़ता है।,हमारे गांव रामपुर में पिछले 20 दिनों से पानी की सप्लाई पूरी तरह बंद है। महिलाओं को 3 किलोमीटर दूर जाना पड़ता है।,Water,Supply Disruption,Critical,Rampur Rural,28.74,77.14,WARD-01,20 days,4500,VERIFIED,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H1-002,2026-09-20T05:00:00,Hindi,"स्कूल के बच्चों को भी बहुत दूर से पानी लाना पड़ रहा है, हैंडपंप में भी दूषित पानी आ रहा है।","स्कूल के बच्चों को भी बहुत दूर से पानी लाना पड़ रहा है, हैंडपंप में भी दूषित पानी आ रहा है।",Water,Quality & Contamination,High,Rampur Rural,28.75,77.13,WARD-01,15 days,2500,VERIFIED,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H1-003,2026-09-20T00:00:00,English,Severe water shortage in Rampur Village for 3 weeks. Well water is dirty and undrinkable.,Severe water shortage in Rampur Village for 3 weeks. Well water is dirty and undrinkable.,Water,Supply Disruption,Critical,Rampur Rural,28.73,77.15,WARD-01,21 days,5000,VERIFIED,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H1-004,2026-09-19T19:00:00,Hindi,"रामपुर मुख्य बस्ती में जल संकट गहरा गया है, तत्काल टैंकर या पाइपलाइन मरम्मत की आवश्यकता है।","रामपुर मुख्य बस्ती में जल संकट गहरा गया है, तत्काल टैंकर या पाइपलाइन मरम्मत की आवश्यकता है।",Water,Infrastructure Failure,High,Rampur Rural,28.74,77.12,WARD-01,18 days,3200,PENDING,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H1-005,2026-09-19T14:00:00,English,"Water pipes broken near primary health center Rampur, mud entering supply line.","Water pipes broken near primary health center Rampur, mud entering supply line.",Water,Pipe Damage,High,Rampur Rural,28.76,77.14,WARD-01,12 days,1800,PENDING,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H1-006,2026-09-19T09:00:00,Hindi,पानी की टंकी में लीकेज है और पिछले दो हफ्ते से पानी नहीं पहुंचा है।,पानी की टंकी में लीकेज है और पिछले दो हफ्ते से पानी नहीं पहुंचा है।,Water,Supply Disruption,High,Rampur Rural,28.74,77.15,WARD-01,14 days,2100,PENDING,SANITIZED,LOW,HOTSPOT-WATER-RAMPUR
CF-2026-H2-001,2026-09-20T10:00:00,Hindi,कल्याणपुर स्वास्थ्य केंद्र में 2 महीने से कोई डॉक्टर नहीं है। आपातकालीन मरीज अस्पताल नहीं पहुंच पाते।,कल्याणपुर स्वास्थ्य केंद्र में 2 महीने से कोई डॉक्टर नहीं है। आपातकालीन मरीज अस्पताल नहीं पहुंच पाते।,Healthcare,Staff Shortage,Critical,Kalyanpur Tribal Belt,28.75,77.38,WARD-05,60 days,8500,VERIFIED,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
CF-2026-H2-002,2026-09-20T02:00:00,Bengali,"আমাদের কল্যাণপুর উপস্বাস্থ্য কেন্দ্রে কোনো ওষুধ নেই, অ্যাম্বুলেন্স রাস্তা খারাপ থাকায় আসে না।","আমাদের কল্যাণপুর উপস্বাস্থ্য কেন্দ্রে কোনো ওষুধ নেই, অ্যাম্বুলেন্স রাস্তা খারাপ থাকায় আসে না।",Healthcare,Supply & Access Deficit,Critical,Kalyanpur Tribal Belt,28.76,77.4,WARD-05,45 days,6200,VERIFIED,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
CF-2026-H2-003,2026-09-19T18:00:00,English,Primary Health Subcenter Kalyanpur lacks antivenom and emergency maternal care facilities.,Primary Health Subcenter Kalyanpur lacks antivenom and emergency maternal care facilities.,Healthcare,Facility Deficit,High,Kalyanpur Tribal Belt,28.74,77.37,WARD-05,30 days,4500,PENDING,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
CF-2026-H2-004,2026-09-19T10:00:00,Hindi,"गंभीर मरीजों को 26 किमी दूर जिला अस्पताल ले जाना पड़ता है, रास्ते में कई मौतें हो चुकी हैं।","गंभीर मरीजों को 26 किमी दूर जिला अस्पताल ले जाना पड़ता है, रास्ते में कई मौतें हो चुकी हैं।",Healthcare,Emergency Transit,Critical,Kalyanpur Tribal Belt,28.77,77.41,WARD-05,90 days,12000,PENDING,SANITIZED,LOW,HOTSPOT-HEALTH-KALYANPUR
